2017-01-19 17:10:17.017 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:20.020 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:20.020 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:23.023 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:23.023 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:25.025 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:25.025 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:28.028 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:28.028 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:31.031 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:31.031 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:34.034 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:34.034 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:37.037 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:37.037 +0000	scrollwheeldown		moved 1	28	on_auftpconfigure	AUFTPConfigure.script
2017-01-19 17:10:40.040 +0000	imagefound	Cancel	Unable to Find Image Cancel	29	on_auftpconfigure	AUFTPConfigure.script
