Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-01-06 11:37:31.031 +0000,"Failure",0:00:00,1,0,0,"20170106_113731.031/LogFile.txt","","SenseTalk Compiler Exception -- in audisablesmtpservice:\nSyntax Error at line 39: Syntax Error - can't understand [end of script] at or near character 1023",0
2017-01-06 11:39:22.022 +0000,"Failure",0:00:55,1,0,1,"20170106_113922.022/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: ADPassword",0
2017-01-06 11:41:41.041 +0000,"Failure",0:00:55,1,0,1,"20170106_114141.041/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: ADPassword",0
2017-01-06 11:46:42.042 +0000,"Success",0:01:05,0,1,0,"20170106_114642.042/LogFile.txt","","",1
2017-01-06 11:50:08.008 +0000,"Failure",0:01:08,1,0,1,"20170106_115008.008/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property",2
2017-01-06 11:59:57.057 +0000,"Running",0:00:00,0,0,0,"20170106_115957.057/LogFile.txt","","",0
2017-01-06 13:34:30.030 +0000,"Running",0:00:00,0,0,0,"20170106_133430.030/LogFile.txt","","",0
2017-01-06 13:39:52.052 +0000,"Success",0:01:25,0,1,0,"20170106_133952.052/LogFile.txt","","",2
