Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-01-09 15:54:23.023 +0000,"Failure",0:00:54,1,0,1,"20170109_155423.023/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: ADUsernameET ",0
2017-01-09 16:06:15.015 +0000,"Success",0:01:00,0,1,0,"20170109_160615.015/LogFile.txt","","",1
2017-01-09 16:08:23.023 +0000,"Success",0:01:03,0,1,0,"20170109_160823.023/LogFile.txt","","",2
2017-01-09 16:23:45.045 +0000,"Success",0:01:11,0,1,0,"20170109_162345.045/LogFile.txt","","",2
2017-01-09 16:26:38.038 +0000,"Success",0:01:04,0,1,0,"20170109_162638.038/LogFile.txt","","",1
2017-01-09 16:29:14.014 +0000,"Success",0:01:05,0,1,0,"20170109_162914.014/LogFile.txt","","",1
2017-01-09 16:32:07.007 +0000,"Success",0:01:15,0,1,0,"20170109_163207.007/LogFile.txt","","",2
2017-01-09 16:41:22.022 +0000,"Success",0:01:00,0,1,0,"20170109_164122.022/LogFile.txt","","",1
2017-01-10 09:00:50.050 +0000,"Success",0:01:13,0,1,0,"20170110_090050.050/LogFile.txt","","",2
