Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-02-15 10:04:21.021 +0000,"Running",0:00:00,0,0,0,"20170215_100421.021/LogFile.txt","","",0
2017-02-15 10:05:55.055 +0000,"Running",0:00:00,0,0,0,"20170215_100555.055/LogFile.txt","","",0
2017-02-15 10:07:31.031 +0000,"Success",0:01:46,0,0,0,"20170215_100731.031/LogFile.txt","","",8
