Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-01-16 16:07:41.041 +0000,"Running",0:00:00,0,0,0,"20170116_160741.041/LogFile.txt","","",0
2017-01-16 16:09:21.021 +0000,"Running",0:00:00,0,0,0,"20170116_160921.021/LogFile.txt","","",0
2017-01-16 16:15:01.001 +0000,"Running",0:00:00,0,0,0,"20170116_161501.001/LogFile.txt","","",0
2017-01-16 16:19:37.037 +0000,"Running",0:00:00,0,0,0,"20170116_161937.037/LogFile.txt","","",0
2017-01-16 16:23:22.022 +0000,"Success",0:01:14,0,1,0,"20170116_162322.022/LogFile.txt","","",1
2017-01-16 16:49:52.052 +0000,"Success",0:01:13,0,1,0,"20170116_164952.052/LogFile.txt","","",1
